code,number_occurrences,root,description
راكعا,1,ركع,"""Non traduit pour le moment"""
ركعا,1,ركع,"""Non traduit pour le moment"""
يركعون,1,ركع,ils s'inclinent.
فيركمه,1,ركم,et les entassera
ركاما,1,ركم,"""Non traduit pour le moment"""
مركوم,1,ركم,"""Non traduit pour le moment"""
ركن,1,ركن,"""Non traduit pour le moment"""
تركنوا,1,ركن,"""Non traduit pour le moment"""
بركنه,1,ركن,"""Non traduit pour le moment"""
ورماحكم,1,رمح,et vos lances
كرماد,1,رمد,"""Non traduit pour le moment"""
رمزا,1,رمز,par des gestes.
رمضان,1,رمض,Ramadhan
رميم,1,رمم,"décomposés?"""
كالرميم,1,رمم,"""Non traduit pour le moment"""
والرمان,2,رمن,"et les grenades,"
ورمان,1,رمن,et des grenadiers.
يرمون,3,رمي,"""Non traduit pour le moment"""
رميت,2,رمي,tu décochais
يرم,1,رمي,il accuse
رمى,1,رمي,qui décochait.
ترمى,1,رمي,décoche
ترميهم,1,رمي,Les bombardant
فارهبون,2,رهب,vous me craindrez!
ورهبانا,1,رهب,et des moines
واسترهبوهم,1,رهب,"et les intimidèrent,"
يرهبون,1,رهب,étaient intimidés.
ترهبون,1,رهب,terrifiant
ورهبنهم,1,رهب,"""Non traduit pour le moment"""
والرهبان,1,رهب,"""Non traduit pour le moment"""
ورهبا,1,رهب,"""Non traduit pour le moment"""
الرهب,1,رهب,"""Non traduit pour le moment"""
ورهبانية,1,رهب,Et aussi un monachisme ;
رهبة,1,رهب,en appréhension
رهطك,1,رهط,"""Non traduit pour le moment"""
أرهطى,1,رهط,"""Non traduit pour le moment"""
رهط,1,رهط,"""Non traduit pour le moment"""
ترهقهم,2,رهق,les accablera
رهقا,2,رهق,penchant à la déviation.
يرهق,1,رهق,couvrira
وترهقهم,1,رهق,et les frappera
ترهقنى,1,رهق,"""Non traduit pour le moment"""
يرهقهما,1,رهق,"""Non traduit pour le moment"""
سأرهقه,1,رهق,Je le surchargerai
ترهقها,1,رهق,Ils seront accablés
فرهن,1,رهن,alors une mise en gage
رهين,1,رهن,"""Non traduit pour le moment"""
رهينة,1,رهن,pris en gage.
رهوا,1,رهو,"""Non traduit pour le moment"""
الريح,17,روح,des vents
الروح,5,روح,l'Esprit
بروح,4,روح,avec l'Esprit
ريح,4,روح,un vent
ريحا,4,روح,"""Non traduit pour le moment"""
روح,3,روح,"""Non traduit pour le moment"""
روحنا,3,روح,notre Esprit
بريح,2,روح,par vent
روحى,2,روح,"""Non traduit pour le moment"""
والروح,2,روح,et l'Esprit
وروح,1,روح,et une inspiration
ريحكم,1,روح,votre force.
بالروح,1,روح,"""Non traduit pour le moment"""
تريحون,1,روح,"""Non traduit pour le moment"""
الرياح,1,روح,"""Non traduit pour le moment"""
روحه,1,روح,son Esprit
ورواحها,1,روح,"""Non traduit pour le moment"""
روحا,1,روح,"""Non traduit pour le moment"""
فروح,1,روح,"""Non traduit pour le moment"""
يرد,14,رود,veut
تريدون,5,رود,vous voulez
أرادوا,4,رود,ils désirent
أردنا,4,رود,nous avions eu comme intention
نريد,4,رود,"""Nous voulons"
أردتم,3,رود,vous désirez
تريد,3,رود,"""Non traduit pour le moment"""
أتريدون,2,رود,Est-ce que vous voudriez
رودته,2,رود,"""Non traduit pour le moment"""
فأراد,2,رود,"""Non traduit pour le moment"""
تردن,2,رود,"""Non traduit pour le moment"""
أرادنى,2,رود,"Il souhaite pour moi,"
أرادا,1,رود,tous deux désirent
أردت,1,رود,"""Non traduit pour le moment"""
ورودته,1,رود,"""Non traduit pour le moment"""
رودتنى,1,رود,"""Non traduit pour le moment"""
ترود,1,رود,"""Non traduit pour le moment"""
رودتن,1,رود,"""Non traduit pour le moment"""
سنرود,1,رود,"""Non traduit pour le moment"""
أردنه,1,رود,"""Non traduit pour le moment"""
فأردت,1,رود,"""Non traduit pour le moment"""
فأردنا,1,رود,"""Non traduit pour le moment"""
وأرادوا,1,رود,"""Non traduit pour le moment"""
أردن,1,رود,"""Non traduit pour le moment"""
ونريد,1,رود,"""Non traduit pour le moment"""
أتريد,1,رود,"""Non traduit pour le moment"""
يردن,1,رود,avait l'intention pour moi
فأرادوا,1,رود,"""Non traduit pour le moment"""
يراد,1,رود,"""Non traduit pour le moment"""
رودوه,1,رود,"""Non traduit pour le moment"""
رويدا,1,رود,doucettement éphémère.
روضة,1,روض,"""Non traduit pour le moment"""
روضات,1,روض,"""Non traduit pour le moment"""
الروع,1,روع,"""Non traduit pour le moment"""
فراغ,3,روغ,"""Non traduit pour le moment"""
الروم,1,روم,"""Non traduit pour le moment"""
ريب,17,ريب,doute
مريب,7,ريب,suspect
ارتبتم,2,ريب,vous doutez :
ترتابوا,1,ريب,vous ayez des doutes.
وارتابت,1,ريب,"""Non traduit pour le moment"""
ريبهم,1,ريب,"""Non traduit pour le moment"""
ريبة,1,ريب,"""Non traduit pour le moment"""
ارتابوا,1,ريب,"""Non traduit pour le moment"""
لارتاب,1,ريب,"""Non traduit pour le moment"""
مرتاب,1,ريب,"""Non traduit pour le moment"""
يرتابوا,1,ريب,"""Non traduit pour le moment"""
وارتبتم,1,ريب,et vous vous êtes laissé aller au doute
يرتاب,1,ريب,puisse douter
والريحان,1,ريحن,et l'excellent parfum.
وريحان,1,ريحن,"""Non traduit pour le moment"""
يريد,38,ريد,"Il veut,"
أراد,18,ريد,a voulu (exprimer)
يريدون,13,ريد,qui souhaitent
أريد,8,ريد,souhaite
ويريد,3,ريد,alors qu'est souhaité
ويريدون,3,ريد,et souhaitent
يريدوا,2,ريد,ils ont l'intention
يريدا,1,ريد,tous deux souhaitent
يريدان,1,ريد,"""Non traduit pour le moment"""
وريشا,1,ريش,"et en ornements,"
ريع,1,ريع,"""Non traduit pour le moment"""
ران,1,رين,subjugue avec méchanceté
زبدا,1,زبد,"""Non traduit pour le moment"""
زبد,1,زبد,"""Non traduit pour le moment"""
الزبد,1,زبد,"""Non traduit pour le moment"""
والزبر,2,زبر,ainsi que les Psaumes
زبورا,2,زبر,des Psaumes.
زبر,2,زبر,"""Non traduit pour le moment"""
الزبر,2,زبر,"""Non traduit pour le moment"""
الزبور,1,زبر,"""Non traduit pour le moment"""
زبرا,1,زبر,"""Non traduit pour le moment"""
وبالزبر,1,زبر,"""Non traduit pour le moment"""
الزبانية,1,زبن,les gardiens de l'Enfer.
زجاجة,1,زجاجة,"""Non traduit pour le moment"""
الزجاجة,1,زجج,"""Non traduit pour le moment"""
زجرة,2,زجر,une expulsion
فالزجرت,1,زجر,"""Non traduit pour le moment"""
زجرا,1,زجر,"""Non traduit pour le moment"""
مزدجر,1,زجر,"""Non traduit pour le moment"""
وازدجر,1,زجر,"""Non traduit pour le moment"""
يزجى,2,زجو,"""Non traduit pour le moment"""
مزجىة,1,زجو,"""Non traduit pour le moment"""
بمزحزحه,1,زحزح,de ceux qui sont épargné
زحزح,1,زحزح,est écarté
زحفا,1,زحف,"avançants,"
زخرف,2,زخرف,un enjolivement de
زخرفها,1,زخرف,sa parure 
وزخرفا,1,زخرف,"""Non traduit pour le moment"""
وزرابى,1,زرب,et des tapis
زرعا,3,زرع,des plantes
وزروع,2,زرع,"""Non traduit pour le moment"""
والزرع,1,زرع,et les récoltes
تزرعون,1,زرع,"""Non traduit pour le moment"""
وزرع,1,زرع,"""Non traduit pour le moment"""
زرع,1,زرع,"""Non traduit pour le moment"""
الزرع,1,زرع,"""Non traduit pour le moment"""
كزرع,1,زرع,"""Non traduit pour le moment"""
الزراع,1,زرع,"""Non traduit pour le moment"""
تزرعونه,1,زرع,"""Non traduit pour le moment"""
الزرعون,1,زرع,"""Non traduit pour le moment"""
زرقا,1,زرق,"""Non traduit pour le moment"""
تزدرى,1,زري,"""Non traduit pour le moment"""
زعمتم,6,زعم,vous clamiez qu'
تزعمون,4,زعم,"prétendues?""."
بزعمهم,2,زعم,"par leurs allégations,"
زعيم,2,زعم,prétendant?
يزعمون,1,زعم,prétendent
زعمت,1,زعم,"""Non traduit pour le moment"""
زعم,1,زعم,Il a été prétendu par
زفير,2,زفر,"""Non traduit pour le moment"""
وزفيرا,1,زفر,"""Non traduit pour le moment"""
يزفون,1,زفف,"""Non traduit pour le moment"""
الزقوم,2,زقم,"""Non traduit pour le moment"""
زقوم,1,زقوم,"""Non traduit pour le moment"""
زكريا,4,زكريا,Zacharie.
وزكريا,2,زكريا,"Et aussi Zacharie,"
يزكريا,1,زكريا,"""Non traduit pour le moment"""
الزكوة,26,زكو,la Zakat (charité régulière)
أزكى,4,زكو,plus loyal
يزكى,4,زكو,qui purifie.
تزكى,4,زكو,tu te purifie?
ويزكيهم,3,زكو,et qui les purifie.
يزكيهم,2,زكو,les purifiera.
زكوة,2,زكو,"""Non traduit pour le moment"""
والزكوة,2,زكو,"""Non traduit pour le moment"""
يتزكى,2,زكو,(pour) se purifier.
ويزكيكم,1,زكو,et qui vous purifie
يزكون,1,زكو,se déclarent purs
وتزكيهم,1,زكو,"""Non traduit pour le moment"""
زكية,1,زكو,"""Non traduit pour le moment"""
وزكوة,1,زكو,"""Non traduit pour le moment"""
زكيا,1,زكو,"""Non traduit pour le moment"""
للزكوة,1,زكو,"""Non traduit pour le moment"""
زكى,1,زكو,"""Non traduit pour le moment"""
تزكوا,1,زكو,"""Non traduit pour le moment"""
زكىها,1,زكو,qui la purifie.
وزلزلوا,2,زلزل,et ils ont été secoués
زلزلة,1,زلزل,"""Non traduit pour le moment"""
زلزالا,1,زلزل,"""Non traduit pour le moment"""
زلزلت,1,زلزل,sera secouée
زلزالها,1,زلزل,(par) son séisme.
وأزلفت,2,زلف,Et sera approché
زلفى,2,زلف,à proximité
لزلفى,2,زلف,"""Non traduit pour le moment"""
وزلفا,1,زلف,"""Non traduit pour le moment"""
وأزلفنا,1,زلف,"""Non traduit pour le moment"""
زلفة,1,زلف,"approchante,"
أزلفت,1,زلف,"est apporté à proximité,"
زلقا,1,زلق,"""Non traduit pour le moment"""
ليزلقونك,1,زلق,te regardent certainement colériquement
فأزلهما,1,زلل,Alors s'empressa vers eux
زللتم,1,زلل,vous dérapez
استزلهم,1,زلل,les a poussé à l'erreur
فتزل,1,زلل,"""Non traduit pour le moment"""
بالأزلم,1,زلم,avec des flèches divinatoires (à la courte paille).
والأزلم,1,زلم,et le tirage au sort
زمرا,2,زمر,en foules.
المزمل,1,زمل,l'enveloppé!
زمهريرا,1,زمهرير,de froid glacial.
زنجبيلا,1,زنجبيل,de gingembre.
زنيم,1,زنم,ignoble.
الزنى,1,زني,"""Non traduit pour le moment"""
الزانية,1,زني,"""Non traduit pour le moment"""
والزانى,1,زني,"""Non traduit pour le moment"""
الزانى,1,زني,"""Non traduit pour le moment"""
زانية,1,زني,"""Non traduit pour le moment"""
والزانية,1,زني,"""Non traduit pour le moment"""
زان,1,زني,"""Non traduit pour le moment"""
يزنون,1,زني,"""Non traduit pour le moment"""
يزنين,1,زني,"commettront l’adultère,"
الزهدين,1,زهد,"""Non traduit pour le moment"""
زهرة,1,زهر,"""Non traduit pour le moment"""
وتزهق,2,زهق,"""Non traduit pour le moment"""
وزهق,1,زهق,"""Non traduit pour le moment"""
زهوقا,1,زهق,"""Non traduit pour le moment"""
زاهق,1,زهق,"""Non traduit pour le moment"""
أزوجا,14,زوج,"des conjointes,"
أزوج,7,زوج,des conjoint(e)s
أزوجكم,6,زوج,vos épouses
زوج,6,زوج,une épouse
أزوجهم,5,زوج,leurs conjoint(e)s
زوجها,4,زوج,sa conjointe.
زوجين,4,زوج,"""Non traduit pour le moment"""
وأزوجهم,4,زوج,et leurs conjoints
وزوجك,2,زوج,et ta conjointe
أزوجنا,2,زوج,nos épouses
وأزوجكم,2,زوج,"""Non traduit pour le moment"""
لأزوجك,2,زوج,"""Non traduit pour le moment"""
أزوجك,2,زوج,"tes conjointes,"
أزوجه,2,زوج,ses conjointes
الأزوج,2,زوج,les duplicités
وزوجنهم,2,زوج,"""Non traduit pour le moment"""
الزوجين,2,زوج,les deux genres conjoints :
وزوجه,1,زوج,et son conjoint.
زوجا,1,زوج,un conjoint
أزوجهن,1,زوج,leurs maris
لأزوجهم,1,زوج,pour leurs conjointes
وأزوج,1,زوج,et des conjoint(e)s
ولزوجك,1,زوج,"""Non traduit pour le moment"""
زوجه,1,زوج,"""Non traduit pour le moment"""
وأزوجه,1,زوج,"""Non traduit pour le moment"""
زوجك,1,زوج,"""Non traduit pour le moment"""
زوجنكها,1,زوج,"""Non traduit pour le moment"""
يزوجهم,1,زوج,"""Non traduit pour le moment"""
زوجان,1,زوج,deux genres.
زوجت,1,زوج,sont jumelées.
وتزودوا,1,زود,"Et vous préparez des provisions,"
الزاد,1,زود,provision
الزور,2,زور,"""Non traduit pour le moment"""
وزورا,2,زور,une fausseté.
تزور,1,زور,"""Non traduit pour le moment"""
زرتم,1,زور,vous visitiez
زوال,1,زول,"""Non traduit pour le moment"""
لتزول,1,زول,"""Non traduit pour le moment"""
تزولا,1,زول,"""Non traduit pour le moment"""
زالتا,1,زول,"""Non traduit pour le moment"""
والزيتون,4,زيت,"et les olives,"
زيتونة,1,زيت,"""Non traduit pour le moment"""
زيتها,1,زيت,"""Non traduit pour le moment"""
وزيتونا,1,زيت,Et des oliviers
ويزيدهم,5,زيد,et leur aumentera
يزيد,4,زيد,cela augmente
زادهم,3,زيد,"""Non traduit pour le moment"""
فزادهم,2,زيد,Leur augmente alors
ازدادوا,2,زيد,accroissent
ليزدادوا,2,زيد,afin qu'ils augmentent
وليزيدن,2,زيد,Et certainement cela accroitra
فزادتهم,2,زيد,"""Non traduit pour le moment"""
زدنهم,2,زيد,"""Non traduit pour le moment"""
يزيدهم,2,زيد,"""Non traduit pour le moment"""
نزد,2,زيد,"""Non traduit pour le moment"""
مزيد,2,زيد,"excédent?"""
تزد,2,زيد,cela augmente
وسنزيد,1,زيد,et nous accroîtrons
وزاده,1,زيد,et l'a exacerbé
وزادكم,1,زيد,Et il vous a accru
سنزيد,1,زيد,nous ferons croître
زادتهم,1,زيد,ils leur augmentent
زيادة,1,زيد,(est) un surcroît
زادوكم,1,زيد,"""Non traduit pour le moment"""
زادته,1,زيد,"""Non traduit pour le moment"""
وزيادة,1,زيد,Et davantage 
ويزدكم,1,زيد,"""Non traduit pour le moment"""
تزيدوننى,1,زيد,"""Non traduit pour le moment"""
زادوهم,1,زيد,"""Non traduit pour le moment"""
ونزداد,1,زيد,"""Non traduit pour le moment"""
تزداد,1,زيد,"""Non traduit pour le moment"""
لأزيدنكم,1,زيد,"""Non traduit pour le moment"""
وزدنهم,1,زيد,"""Non traduit pour le moment"""
وازدادوا,1,زيد,"""Non traduit pour le moment"""
ويزيد,1,زيد,"""Non traduit pour le moment"""
زدنى,1,زيد,"""Non traduit pour le moment"""
وزادهم,1,زيد,"""Non traduit pour le moment"""
زيد,1,زيد,"""Non traduit pour le moment"""
يزيدون,1,زيد,"""Non traduit pour le moment"""
فزده,1,زيد,"""Non traduit pour le moment"""
يزدهم,1,زيد,"cela a accru,"
يزده,1,زيد,ne l'accroissent 
فزادوهم,1,زيد,Alors augmenta leur
زد,1,زيد,ajoute
أزيد,1,زيد,j'accroisse.
ويزداد,1,زيد,Et que soit accrue
نزيدكم,1,زيد,nous accroîtrons pour vous
زاغت,2,زيغ,"""Non traduit pour le moment"""
زيغ,1,زيغ,un penchant aux doutes
تزغ,1,زيغ,dévies (pas)
يزيغ,1,زيغ,"""Non traduit pour le moment"""
يزغ,1,زيغ,"""Non traduit pour le moment"""
زاغ,1,زيغ,"""Non traduit pour le moment"""
زاغوا,1,زيغ,"ils dévièrent,"
أزاغ,1,زيغ,a détourné
يزال,3,زيل,"""Non traduit pour le moment"""
يزالون,2,زيل,ils cesseront
تزال,1,زيل,tu aura de cesse
فزيلنا,1,زيل,Nous les séparerons
زالت,1,زيل,"""Non traduit pour le moment"""
زلتم,1,زيل,"""Non traduit pour le moment"""
تزيلوا,1,زيل,"""Non traduit pour le moment"""
زين,11,زين,"Est enjolivée,"
زينة,6,زين,la beauté de
وزين,4,زين,et a enjolivé
زينا,4,زين,Nous avons enjolivé
وزينتها,3,زين,"""Non traduit pour le moment"""
زينتهن,3,زين,"""Non traduit pour le moment"""
وزينها,2,زين,et nous l'avons embelli
وزينة,2,زين,"et enjolivement,"
بزينة,2,زين,"""Non traduit pour le moment"""
زينتكم,1,زين,votre beauté
وازينت,1,زين,et s'embellit 
لأزينن,1,زين,"""Non traduit pour le moment"""
فزين,1,زين,"""Non traduit pour le moment"""
الزينة,1,زين,"""Non traduit pour le moment"""
زينته,1,زين,"""Non traduit pour le moment"""
وزينا,1,زين,"""Non traduit pour le moment"""
فزينوا,1,زين,"""Non traduit pour le moment"""
وزينه,1,زين,"""Non traduit pour le moment"""
أسءلكم,11,سأل,je vous demande
يسءلونك,9,سأل,Ils t'interrogent
سألتهم,7,سأل,Tu leur demande / je leur ai demandé
يتساءلون,7,سأل,s'interrogent-ils?
ويسءلونك,6,سأل,"Et ils t'interrogent,"
تسءلون,5,سأل,vous serez interrogé
يسءل,5,سأل,il demande / il questionne
يسءلون,4,سأل,ils demandent
فسءل,4,سأل,"""Non traduit pour le moment"""
تسءلهم,4,سأل,leur demandes-tu
مسءولا,4,سأل,"""Non traduit pour le moment"""
تسءلوا,3,سأل,vous questionniez
وسءلوا,2,سأل,Et demandez à
يسءلك,2,سأل,Il est demandé par
سألتكم,2,سأل,"""Non traduit pour le moment"""
للسائلين,2,سأل,"""Non traduit pour le moment"""
وسءل,2,سأل,"""Non traduit pour le moment"""
فسءلوا,2,سأل,"""Non traduit pour le moment"""
لتسءلن,2,سأل,"effectivement, vous serez interrogés"
يسءلكم,2,سأل,Vous demande
للسائل,2,سأل,Réservée auw quémandeurs
سألتم,1,سأل,vous demandez.
سئل,1,سأل,a été questionné
تسءل,1,سأل,tu seras questionné
والسائلين,1,سأل,"et les mendiants,"
سألك,1,سأل,te questionne
سل,1,سأل,Demande
تساءلون,1,سأل,vous questionnez
سألوا,1,سأل,ils ont demandé à
سألها,1,سأل,les ont posé ces questions
فلنسءلن,1,سأل,"Alors, nous interrogerons certainement"
ولنسءلن,1,سأل,et nous interrogerons inévitablement
وسءلهم,1,سأل,Et interroge-les
تسءلن,1,سأل,"""Non traduit pour le moment"""
أسءلك,1,سأل,"""Non traduit pour le moment"""
فسءله,1,سأل,"""Non traduit pour le moment"""
سألتموه,1,سأل,"""Non traduit pour le moment"""
لنسءلنهم,1,سأل,"""Non traduit pour le moment"""
ولتسءلن,1,سأل,"""Non traduit pour le moment"""
ليتساءلوا,1,سأل,"""Non traduit pour le moment"""
تسءلنى,1,سأل,"""Non traduit pour le moment"""
سألتك,1,سأل,"""Non traduit pour le moment"""
سؤلك,1,سأل,"""Non traduit pour le moment"""
نسءلك,1,سأل,"""Non traduit pour le moment"""
فسءلوهم,1,سأل,"""Non traduit pour le moment"""
وليسءلن,1,سأل,"""Non traduit pour le moment"""
ليسءل,1,سأل,"""Non traduit pour le moment"""
سئلوا,1,سأل,"""Non traduit pour le moment"""
سألتموهن,1,سأل,"""Non traduit pour le moment"""
فسءلوهن,1,سأل,"""Non traduit pour le moment"""
نسءل,1,سأل,"""Non traduit pour le moment"""
مسءولون,1,سأل,"""Non traduit pour le moment"""
بسؤال,1,سأل,"""Non traduit pour le moment"""
ويسءلون,1,سأل,"""Non traduit pour le moment"""
يسءلكموها,1,سأل,"""Non traduit pour le moment"""
يسءله,1,سأل,Le sollicite
وليسءلوا,1,سأل,et qu'ils réclament aussi
سألهم,1,سأل,leur demanderont
سلهم,1,سأل,Demande-leur
سأل,1,سأل,Questionna
سائل,1,سأل,un interrogateur
سئلت,1,سأل,est questionnée :
السائل,1,سأل,quémandeur
تسءموا,1,سأم,vous vous lassez
يسءمون,1,سأم,"""Non traduit pour le moment"""
يسءم,1,سأم,"""Non traduit pour le moment"""
سبإ,1,سبأ,"""Non traduit pour le moment"""
لسبإ,1,سبأ,"""Non traduit pour le moment"""
سببا,4,سبب,"""Non traduit pour le moment"""
الأسبب,2,سبب,"""Non traduit pour le moment"""
الأسباب,1,سبب,les relations.
تسبوا,1,سبب,injuriez
فيسبوا,1,سبب,alors ils injurieraient
بسبب,1,سبب,"""Non traduit pour le moment"""
أسبب,1,سبب,"""Non traduit pour le moment"""
السبت,5,سبت,le Sabbat
سباتا,2,سبت,un repos.
سبتهم,1,سبت,du Sabbat
يسبتون,1,سبت,ils avaient Sabbat
سبحنه,14,سبح,Gloire à Lui!
سبحن,12,سبح,gloire à / exalté soit
سبحنك,9,سبح,"""Gloire à toi"
يسبحون,7,سبح,ils glorifient
وسبح,6,سبح,et glorifie
فسبح,6,سبح,Alors (tu) glorifieras
يسبح,6,سبح,il glorifie
سبح,4,سبح,Glorifie
فسبحن,3,سبح,Alors gloire
وسبحن,2,سبح,"""Non traduit pour le moment"""
يسبحن,2,سبح,"""Non traduit pour le moment"""
فسبحه,2,سبح,imprègne-toi donc de lui
سبحا,2,سبح,des activités
نسبح,1,سبح,nous (te) glorifions
ويسبحونه,1,سبح,"et ils le glorifient,"
ويسبح,1,سبح,"""Non traduit pour le moment"""
تسبح,1,سبح,"""Non traduit pour le moment"""
تسبيحهم,1,سبح,"""Non traduit pour le moment"""
سبحان,1,سبح,"""Non traduit pour le moment"""
سبحوا,1,سبح,"""Non traduit pour le moment"""
نسبحك,1,سبح,"""Non traduit pour le moment"""
وتسبيحه,1,سبح,"""Non traduit pour le moment"""
وسبحوا,1,سبح,"""Non traduit pour le moment"""
وسبحوه,1,سبح,"""Non traduit pour le moment"""
المسبحين,1,سبح,"""Non traduit pour le moment"""
المسبحون,1,سبح,"""Non traduit pour le moment"""
وتسبحوه,1,سبح,"""Non traduit pour le moment"""
تسبحون,1,سبح,"vous vous imprégnez du divin?"""
وسبحه,1,سبح,et glorifie-le
والسبحت,1,سبح,Et ceux qui baignent
والأسباط,4,سبط,"et les Patriarches,"
أسباطا,1,سبط,tribus
سبع,14,سبع,sept
السبع,3,سبع,l'animal sauvage
سبعة,3,سبع,sept
سبعين,2,سبع,soixante-dix
وسبع,2,سبع,"""Non traduit pour le moment"""
سبعا,2,سبع,sept
وسبعة,1,سبع,puis sept
سبعون,1,سبع,soixante-dix
وأسبغ,1,سبغ,"""Non traduit pour le moment"""
سبغت,1,سبغ,"""Non traduit pour le moment"""
سبقت,7,سبق,prédéterminée
سبق,4,سبق,"prédéterminé,"
فاستبقوا,3,سبق,alors rivalisez (plutôt pour)
سبقكم,2,سبق,vous a précédé
والسبقون,2,سبق,Et les pionniers élitistes
تسبق,2,سبق,"""Non traduit pour le moment"""
سابق,2,سبق,dépasser
سبقونا,2,سبق,nous ont précédés
بمسبوقين,2,سبق,(seront) surpassés.
سبقوا,1,سبق,qu'ils peuvent s'en tirer.
نستبق,1,سبق,"""Non traduit pour le moment"""
واستبقا,1,سبق,"""Non traduit pour le moment"""
يسبقونه,1,سبق,"""Non traduit pour le moment"""
سبقون,1,سبق,"""Non traduit pour le moment"""
يسبقونا,1,سبق,"""Non traduit pour le moment"""
سبقين,1,سبق,"""Non traduit pour le moment"""
السبقون,1,سبق,des pionniers.
سابقوا,1,سبق,Hâtez-vous
فالسبقت,1,سبق,afin de courser
سبقا,1,سبق,"en concourant,"
سبيل,87,سبل,la voie de
سبيلا,29,سبل,les moyens.
السبيل,28,سبل,voie.
سبيله,13,سبل,sa voie
سبلا,4,سبل,ses chemins
سبيلى,3,سبل,"Ma voie,"
سبل,2,سبل,le chemin de
سبيلك,2,سبل,"""Non traduit pour le moment"""
سبلنا,2,سبل,"""Non traduit pour le moment"""
السبل,1,سبل,"les (autres) chemins,"
سبيلهم,1,سبل,"""Non traduit pour le moment"""
لبسبيل,1,سبل,"""Non traduit pour le moment"""
وسبلا,1,سبل,"""Non traduit pour le moment"""
سبيلنا,1,سبل,"""Non traduit pour le moment"""
السبيلا\,1,سبل,"""Non traduit pour le moment"""
ستة,7,ستت,six
ستين,1,ستت,soixante
مستورا,1,ستر,"""Non traduit pour le moment"""
سترا,1,ستر,"""Non traduit pour le moment"""
تستترون,1,ستر,"""Non traduit pour le moment"""
المسجد,17,سجد,la Mosquée
سجدا,11,سجد,humblement
اسجدوا,6,سجد,"""Prosternez-vous"
السجود,6,سجد,ceux qui se prosternent.
فسجدوا,5,سجد,Alors ils se prosternèrent
مسجد,5,سجد,aux mosquées (de)
السجدين,5,سجد,ceux qui se prosternent.
سجدين,5,سجد,prosternés.
يسجدون,4,سجد,se prosternent.
يسجد,3,سجد,"""Non traduit pour le moment"""
والمسجد,2,سجد,et la Mosquée
تسجد,2,سجد,tu te prosterne / tu t'abaisse
مسجدا,2,سجد,"""Non traduit pour le moment"""
فسجد,2,سجد,"""Non traduit pour le moment"""
واسجدوا,2,سجد,"""Non traduit pour le moment"""
واسجدى,1,سجد,"Et prosterne-toi,"
سجدوا,1,سجد,ils se sont prosternés
لمسجد,1,سجد,"""Non traduit pour le moment"""
السجدون,1,سجد,"""Non traduit pour le moment"""
لأسجد,1,سجد,"""Non traduit pour le moment"""
ءأسجد,1,سجد,"""Non traduit pour le moment"""
ومسجد,1,سجد,"""Non traduit pour le moment"""
أنسجد,1,سجد,"""Non traduit pour le moment"""
يسجدوا,1,سجد,"""Non traduit pour le moment"""
ساجدا,1,سجد,prostré
تسجدوا,1,سجد,"""Non traduit pour le moment"""
فاسجدوا,1,سجد,"""Non traduit pour le moment"""
يسجدان,1,سجد,tous deux se prosernent.
فاسجد,1,سجد,prosterne-toi donc
واسجد,1,سجد,Et prosternes-toi
يسجرون,1,سجر,"""Non traduit pour le moment"""
المسجور,1,سجر,"""Non traduit pour le moment"""
سجرت,1,سجر,"seront dilatées jusqu'à déborder,"
سجيل,3,سجل,(une) terre cuite.
السجل,1,سجل,"""Non traduit pour le moment"""
السجن,6,سجن,la prison
سجين,2,سجن,Sijjin (les confinements).
يسجن,1,سجن,"""Non traduit pour le moment"""
ليسجنن,1,سجن,"""Non traduit pour le moment"""
ليسجننه,1,سجن,"""Non traduit pour le moment"""
المسجونين,1,سجن,"""Non traduit pour le moment"""
سجى,1,سجو,elle enveloppe.
سحابا,4,سحب,des nuages
السحاب,2,سحب,"""Non traduit pour le moment"""
سحاب,2,سحب,"""Non traduit pour le moment"""
يسحبون,2,سحب,"""Non traduit pour le moment"""
والسحاب,1,سحب,et des nuages
السحت,2,سحت,l'illicite
للسحت,1,سحت,de l'illicite.
فيسحتكم,1,سحت,"""Non traduit pour le moment"""
سحر,18,سحر,une magie
السحرة,8,سحر,les prestidigitateurs de
السحر,6,سحر,la sorcellerie.
لسحر,4,سحر,certainement un mentaliste
بسحر,3,سحر,avec une illusion
مسحورا,3,سحر,"""Non traduit pour le moment"""
الساحر,2,سحر,"""Non traduit pour le moment"""
المسحرين,2,سحر,"""Non traduit pour le moment"""
بالأسحار,1,سحر,au moment de l'aube.
سحروا,1,سحر,ils séduirent
لتسحرنا,1,سحر,afin de nous fasciner
أسحر,1,سحر,"""Non traduit pour le moment"""
السحرون,1,سحر,"""Non traduit pour le moment"""
مسحورون,1,سحر,"""Non traduit pour le moment"""
بسحرك,1,سحر,"""Non traduit pour le moment"""
لسحرن,1,سحر,"""Non traduit pour le moment"""
بسحرهما,1,سحر,"""Non traduit pour le moment"""
سحرهم,1,سحر,"""Non traduit pour le moment"""
تسحرون,1,سحر,"""Non traduit pour le moment"""
بسحره,1,سحر,"""Non traduit pour le moment"""
سحار,1,سحر,"""Non traduit pour le moment"""
سحران,1,سحر,"""Non traduit pour le moment"""
وبالأسحار,1,سحر,"""Non traduit pour le moment"""
ساحر,1,سحر,"""Non traduit pour le moment"""
أفسحر,1,سحر,"""Non traduit pour le moment"""
سحيق,1,سحق,"""Non traduit pour le moment"""
فسحقا,1,سحق,"Donc, anéantissement"
